City,Country,Average Price,Average Price in USD,Accommodation Price Score
Amsterdam,Netherlands,251.16,273.76,1.9999999999999964
Athens,Greece,105.48,114.97,14.279687231483074
Bangkok,Thailand,3104.51,90.03,16.208369135590306
Belize,Belize,504.14,252.07,3.6773500601477913
Berlin,Germany,124.52,135.73,12.674256745145215
Brussels,Belgium,120.3,131.13,13.029987970441656
Buenos Aires,Argentina,61276.36,73.53,17.484361574153635
Cape Town,South Africa,4089.19,220.82,6.094002405911668
Copenhagen,Denmark,1314.37,197.16,7.923698229936415
Dublin,Ireland,200.66,218.72,6.256401443547
Hong Kong(SAR),Hong Kong(SAR),891.27,115.87,14.210087643925071
Istanbul,Turkey,2908.81,95.99,15.747465200206221
Lisbon,Portugal,134.31,146.4,11.849114968207596
London,United Kingdom,182.14,231.32,5.282007217735007
Madrid,Spain,129.02,140.63,12.295325657329439
Malta,Malta,128.37,139.92,12.350231998625194
Mexico City,Mexico,1748.48,103.16,15.192988485994157
New York,United States,212.54,212.54,6.734318611445266
Oslo,Norway,1633.25,158.43,10.918800481182332
Paris,France,221.16,241.06,4.528785014607321
Prague,Czech Republic,3979.62,175.1,9.629661453858052
Riga,Latvia,77.56,84.54,16.632926619694103
Rio De Janeiro,Brazil,1211.72,254.46,3.4925244887437685
Rome,Italy,172.38,187.89,8.640573981783813
Santiago,Chile,90925.42,100.02,15.435813713696511
Singapore,Singapore,270.36,202.77,7.489860800824882
Stockholm,Sweden,1796.46,174.26,9.694621068912184
Sydney,Australia,330.29,221.29,6.057655954631381
Taipei,Taiwan,4724.52,151.18,11.479463825399552
Tokyo,Japan,30046.17,207.32,7.137996219281664
Vancouver,Canada,201.01,148.75,11.667382711806152
Vienna,Austria,135.79,148.01,11.724609039353842
Zurich,Switzerland,180.27,210.92,6.859597869049665
Manila,Philippines,2289.0,41.0,20.0
Beijing,China,577.35,81.14,16.895858394913216
New Delhi,India,4500.0,54.15,18.98307269290256
